,Jm1,Jm2,T,Tx,Ty,Tz,h,ju1,ju2,layer,n,p,px,py,pz,up,x*,x1
16,,,,,,,,,,1.7000E+01 1.9410E+01 1.2644E-02 1.0882E-02 1.9460E-02 3.8810E-02 4.3122E-02 2.5486E-02 3.8518E-02 2.4373E-02 3.4123E-02 2.6413E-02 2.8366E-02 1.8652E-02 3.4959E-02 2.6886E-02 2.2984E-02 3.5918E-02 3.9352E-02 4.2145E-02 3.2036E-02 2.3968E-02,,,,,,,,
17,,,,,,,,,,1.8000E+01 2.0590E+01 2.2412E-02 1.9597E-02 2.0326E-02 2.0257E-02 5.6487E-02 3.4058E-02 3.0141E-02 3.1954E-02 2.3650E-02 2.7680E-02 2.2317E-02 2.4050E-02 1.2343E-02 1.6007E-02 2.7950E-02 2.3985E-02 2.7830E-02 3.8633E-02 4.3356E-02 2.5909E-02,,,,,,,,
18,,,,,,,,,,1.9000E+01 2.1760E+01 1.5205E-02 1.0795E-02 8.8483E-03 2.1336E-02 5.2937E-02 4.0031E-02 3.8983E-02 4.0620E-02 4.0105E-02 2.2864E-02 3.5224E-02 1.5801E-02 2.5497E-02 2.8150E-02 3.5383E-02 3.3939E-02 1.3580E-02 3.3427E-02 2.6935E-02 1.7535E-02,,,,,,,,
19,,,,,,,,,,2.0000E+01 2.2940E+01 1.4639E-02 7.1245E-03 1.0749E-02 1.0193E-02 3.4862E-02 3.2404E-02 3.7167E-02 5.8828E-02 3.4516E-02 1.9948E-02 3.4360E-02 1.8528E-02 3.4896E-02 3.8394E-02 3.4596E-02 3.1312E-02 2.9107E-02 4.0234E-02 4.2457E-02 2.6486E-02,,,,,,,,
20,,,,,,,,,,2.1000E+01 2.4110E+01 9.8061E-03 1.9028E-02 1.5411E-02 2.6191E-02 2.9881E-02 4.2937E-02 1.9858E-02 1.9069E-02 3.1021E-02 3.8166E-02 3.8566E-02 4.2547E-02 2.2539E-02 2.8184E-02 2.7228E-02 3.0554E-02 2.9836E-02 2.6491E-02 1.7580E-02 2.1932E-02,,,,,,,,
21,,,,,,,,,,2.2000E+01 2.5290E+01 1.1049E-02 1.2333E-02 2.1055E-02 2.2608E-02 2.6096E-02 4.7381E-02 4.1800E-02 3.7261E-02 3.7095E-02 3.5150E-02 3.0037E-02 2.2981E-02 2.4880E-02 2.5803E-02 2.2043E-02 3.3232E-02 3.5872E-02 1.4626E-02 2.1385E-02 2.4512E-02,,,,,,,,
22,,,,,,,,,,2.3000E+01 2.6470E+01 2.0141E-02 1.9434E-02 1.4035E-02 8.8303E-03 1.7583E-02 3.4717E-02 3.7873E-02 3.2407E-02 3.0599E-02 1.2890E-02 2.2808E-02 2.0994E-02 1.4072E-02 3.3180E-02 3.3350E-02 3.0298E-02 3.3032E-02 3.2192E-02 3.0167E-02 3.4580E-02,,,,,,,,
23,,,,,,,,,,2.4000E+01 2.7640E+01 2.0515E-02 1.3523E-02 1.4725E-02 6.9616E-03 1.3713E-02 2.2442E-02 5.3697E-02 3.9936E-02 2.6281E-02 2.6626E-02 2.5657E-02 1.0502E-02 3.3940E-02 2.2283E-02 3.1403E-02 2.1245E-02 3.4609E-02 3.6837E-02 2.3554E-02 3.6556E-02,,,,,,,,
24,,,,,,,,,,2.5000E+01 2.8820E+01 1.2071E-02 2.0159E-02 1.1835E-02 1.7832E-02 1.6812E-02 1.8498E-02 3.4920E-02 3.7330E-02 3.0349E-02 4.5674E-02 2.4251E-02 2.2746E-02 4.4592E-02 3.6501E-02 2.9157E-02 3.0635E-02 3.9304E-02 2.4878E-02 2.5813E-02 2.5642E-02,,,,,,,,
25,,,,,,,,,,2.6000E+01 3.0000E+01 1.3881E-02 1.6662E-02 1.1449E-02 1.5881E-02 1.9154E-02 2.5934E-02 3.5762E-02 3.9064E-02 4.7924E-02 3.5937E-02 2.9638E-02 3.7026E-02 2.1241E-02 3.5772E-02 2.4412E-02 2.2465E-02 3.4035E-02 3.1565E-02 3.0772E-02 3.3630E-02,,,,,,,,
26,,,,,,,,,,2.7000E+01 3.1170E+01 9.7854E-03 2.0341E-02 1.9869E-02 1.9985E-02 2.1799E-02 2.2886E-02 2.4089E-02 4.5122E-02 4.3134E-02 3.8050E-02 2.7379E-02 3.0729E-02 4.4781E-02 3.1284E-02 4.5403E-02 4.0968E-02 2.9023E-02 2.4589E-02 2.8942E-02 3.0859E-02,,,,,,,,
27,,,,,,,,,,2.8000E+01 3.2350E+01 1.1746E-02 2.2015E-02 1.9853E-02 1.4412E-02 1.2005E-02 1.3841E-02 1.9472E-02 3.5043E-02 2.9544E-02 2.0315E-02 1.9849E-02 2.1115E-02 1.7940E-02 3.3229E-02 3.2705E-02 1.9040E-02 1.6471E-02 2.8616E-02 3.2598E-02 2.6900E-02,,,,,,,,
28,,,,,,,,,,2.9000E+01 3.3520E+01 1.2090E-02 2.1014E-02 1.7082E-02 1.8750E-02 1.9093E-02 2.6405E-02 2.2935E-02 2.2513E-02 5.5209E-02 2.7553E-02 2.0542E-02 2.0889E-02 2.3452E-02 3.0770E-02 2.3446E-02 1.5456E-02 3.8110E-02 3.2964E-02 2.6057E-02 1.8526E-02,,,,,,,,
29,,,,,,,,,,3.0000E+01 3.4700E+01 1.5358E-02 1.6376E-02 1.5595E-02 2.7433E-02 2.4340E-02 2.1001E-02 1.7886E-02 2.2716E-02 2.9287E-02 2.1481E-02 2.2417E-02 2.6565E-02 2.7414E-02 2.9858E-02 2.2463E-02 2.1611E-02 1.7674E-02 3.2516E-02 2.2607E-02 1.8760E-02,,,,,,,,
30,,,,,,,,,,3.1000E+01 3.5880E+01 1.2240E-02 1.9813E-02 1.9166E-02 2.0323E-02 1.7273E-02 1.0911E-02 2.0360E-02 2.2725E-02 2.2662E-02 2.9927E-02 2.9315E-02 3.4615E-02 1.9560E-02 2.4800E-02 2.2822E-02 1.6869E-02 1.7707E-02 1.4980E-02 2.0575E-02 2.2789E-02,,,,,,,,
31,,,,,,,,,,3.2000E+01 3.7050E+01 1.5648E-02 1.6292E-02 1.6825E-02 1.9615E-02 2.1400E-02 1.2216E-02 2.5209E-02 2.1502E-02 2.8608E-02 3.3052E-02 2.6732E-02 2.7001E-02 2.3133E-02 3.6737E-02 3.7724E-02 2.2230E-02 2.1463E-02 2.1489E-02 2.5162E-02 1.7489E-02,,,,,,,,
