,Jm1,Jm2,T,Tx,Ty,Tz,h,ju1,ju2,layer,n,p,px,py,pz,up,x*,x1
56,,,,,,,,,,5.7000E+01 6.6460E+01 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00,,,,,,,,
57,,,,,,,,,,5.8000E+01 6.7640E+01 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00,,,,,,,,
58,,,,,,,,,,5.9000E+01 6.8810E+01 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00,,,,,,,,
59,,,,,,,,,,6.0000E+01 6.9990E+01 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00,,,,,,,,
60,,,,,,,,,,6.1000E+01 7.1170E+01 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00,,,,,,,,
61,,,,,,,,,,6.2000E+01 7.2340E+01 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00,,,,,,,,
62,,,,,,,,,,6.3000E+01 7.3520E+01 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00,,,,,,,,
63,,,,,,,,,,6.4000E+01 7.4690E+01 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00,,,,,,,,
0,,,,,,,,,,1.0000E+00 5.8810E-01 1.0987E+00 6.8550E-01 4.1922E-01 2.9113E-01 1.6212E-01 1.2572E-01 1.9312E-01 1.2566E-01 7.5325E-02 9.6758E-02 7.7482E-02 7.5918E-02 9.5337E-02 5.1412E-02 3.7593E-02 1.0763E-01 7.1522E-02 6.3563E-02 7.9741E-02 5.5831E-02,,,,,,,,
1,,,,,,,,,,2.0000E+00 1.7640E+00 1.0487E+00 8.9602E-01 4.0742E-01 4.4490E-01 5.4107E-01 2.3263E-01 2.8908E-01 1.7278E-01 1.1371E-01 1.7211E-01 1.2959E-01 1.8739E-01 2.0879E-01 8.4447E-02 1.2924E-01 9.5626E-02 1.2487E-01 1.0749E-01 1.4892E-01 4.9860E-02,,,,,,,,
2,,,,,,,,,,3.0000E+00 2.9410E+00 1.2926E+00 1.0975E+00 3.7429E-01 3.1003E-01 4.2128E-01 3.0095E-01 2.9212E-01 2.5142E-01 2.1561E-01 1.0996E-01 1.6606E-01 1.4969E-01 1.7348E-01 7.8207E-02 9.2842E-02 9.1648E-02 1.6357E-01 1.5863E-01 1.5749E-01 7.4346E-02,,,,,,,,
3,,,,,,,,,,4.0000E+00 4.1170E+00 1.1429E+00 1.1062E+00 1.6716E-01 4.9661E-01 1.8569E-01 3.8214E-01 2.3354E-01 3.2532E-01 2.3322E-01 2.0726E-01 1.8862E-01 1.4145E-01 1.2685E-01 1.8298E-01 1.6047E-01 8.9141E-02 1.7080E-01 1.0635E-01 8.3829E-02 1.2097E-01,,,,,,,,
4,,,,,,,,,,5.0000E+00 5.2930E+00 7.2088E-01 6.5997E-01 3.7109E-01 3.6787E-01 2.8612E-01 3.1426E-01 3.2334E-01 3.1435E-01 1.8000E-01 1.7967E-01 1.6363E-01 1.0787E-01 1.1965E-01 1.1772E-01 1.6104E-01 1.4222E-01 1.4394E-01 7.7696E-02 7.7090E-02 7.6408E-02,,,,,,,,
5,,,,,,,,,,6.0000E+00 6.4700E+00 5.6399E-01 7.2164E-01 4.9882E-01 2.7809E-01 3.5916E-01 3.0566E-01 2.9180E-01 2.4963E-01 2.4867E-01 1.9647E-01 1.6854E-01 1.4031E-01 1.2745E-01 1.4723E-01 1.7964E-01 2.1071E-01 1.6701E-01 9.8111E-02 9.7054E-02 1.0457E-01,,,,,,,,
6,,,,,,,,,,7.0000E+00 7.6460E+00 3.9651E-01 7.5808E-01 6.0919E-01 2.6927E-01 3.5951E-01 1.8855E-01 2.4474E-01 2.3324E-01 2.3253E-01 1.9679E-01 1.2755E-01 1.3168E-01 1.7900E-01 1.3913E-01 2.1113E-01 1.5277E-01 1.5571E-01 1.0163E-01 1.4302E-01 6.0362E-02,,,,,,,,
7,,,,,,,,,,8.0000E+00 8.8220E+00 1.1047E-01 5.9546E-01 5.6054E-01 2.3036E-01 2.9491E-01 1.9990E-01 2.7646E-01 1.5799E-01 2.0215E-01 1.3469E-01 1.6065E-01 1.6614E-01 1.5029E-01 1.3843E-01 7.8481E-02 4.2231E-02 1.5681E-01 1.3182E-01 1.1279E-01 6.7205E-02,,,,,,,,
8,,,,,,,,,,9.0000E+00 9.9990E+00 3.3961E-02 6.2879E-01 4.2725E-01 3.1525E-01 2.6108E-01 1.1164E-01 2.3983E-01 2.0436E-01 1.7593E-01 1.5204E-01 1.2059E-01 1.2775E-01 1.8019E-01 7.1522E-02 1.2445E-01 1.1874E-01 1.4563E-01 1.8249E-01 1.3500E-01 1.5101E-01,,,,,,,,
9,,,,,,,,,,1.0000E+01 1.1170E+01 1.5355E-02 3.7916E-01 4.3827E-01 3.4189E-01 2.0878E-01 1.7149E-01 1.5035E-01 1.8341E-01 1.4070E-01 1.2466E-01 1.1240E-01 1.5375E-01 1.5646E-01 1.1557E-01 1.2047E-01 1.0842E-01 1.3174E-01 1.8859E-01 1.3516E-01 1.4700E-01,,,,,,,,
10,,,,,,,,,,1.1000E+01 1.2350E+01 3.1941E-02 1.5865E-01 5.0128E-01 4.4839E-01 1.6457E-01 2.4582E-01 1.6820E-01 1.8427E-01 8.9200E-02 1.5498E-01 1.1248E-01 1.2483E-01 2.1419E-01 1.5043E-01 1.4879E-01 1.1297E-01 1.4823E-01 1.0724E-01 7.4966E-02 1.1592E-01,,,,,,,,
11,,,,,,,,,,1.2000E+01 1.3530E+01 2.2004E-02 1.0588E-01 4.5494E-01 4.2889E-01 2.7600E-01 2.1121E-01 1.7444E-01 2.1822E-01 1.9644E-01 2.0334E-01 1.2569E-01 1.5385E-01 2.0459E-01 1.2718E-01 1.2877E-01 1.2439E-01 1.4398E-01 8.4194E-02 1.2870E-01 1.4396E-01,,,,,,,,
12,,,,,,,,,,1.3000E+01 1.4700E+01 3.5748E-02 3.2788E-02 4.5727E-01 3.8415E-01 4.1719E-01 2.4584E-01 1.4207E-01 2.4571E-01 1.4049E-01 1.9740E-01 1.4142E-01 7.1334E-02 1.1995E-01 2.0906E-01 1.1167E-01 1.1008E-01 6.7474E-02 8.3883E-02 1.2493E-01 1.9529E-01,,,,,,,,
13,,,,,,,,,,1.4000E+01 1.5880E+01 4.0014E-02 3.5276E-02 2.6446E-01 4.6331E-01 4.0449E-01 1.5874E-01 1.1364E-01 2.4553E-01 1.6047E-01 1.5644E-01 1.2858E-01 1.2579E-01 1.4582E-01 1.1053E-01 1.3396E-01 1.3437E-01 1.0324E-01 8.1077E-02 1.2097E-01 1.1080E-01,,,,,,,,
14,,,,,,,,,,1.5000E+01 1.7060E+01 1.7113E-02 1.5835E-02 1.3308E-01 4.1023E-01 3.3617E-01 2.4304E-01 1.4003E-01 1.9870E-01 1.6765E-01 1.9063E-01 1.3684E-01 9.1011E-02 1.1583E-01 6.7251E-02 1.3021E-01 8.1837E-02 1.1564E-01 8.2389E-02 1.5180E-01 1.1497E-01,,,,,,,,
15,,,,,,,,,,1.6000E+01 1.8230E+01 3.1336E-02 2.0276E-02 3.7679E-02 3.5660E-01 3.2462E-01 3.2832E-01 2.2374E-01 1.9137E-01 1.4398E-01 1.8071E-01 1.5378E-01 1.0302E-01 7.4831E-02 6.9295E-02 1.0297E-01 8.6944E-02 9.4511E-02 7.3646E-02 9.6613E-02 9.2727E-02,,,,,,,,
16,,,,,,,,,,1.7000E+01 1.9410E+01 3.7684E-02 1.9344E-02 2.8800E-02 3.6642E-01 3.5756E-01 4.3292E-01 2.3832E-01 1.4452E-01 1.8175E-01 1.5340E-01 1.7291E-01 1.2665E-01 1.1691E-01 1.0031E-01 1.2086E-01 6.5094E-02 8.3821E-02 1.3385E-01 6.6134E-02 7.8010E-02,,,,,,,,
17,,,,,,,,,,1.8000E+01 2.0590E+01 4.5514E-02 4.2166E-02 3.4398E-02 2.1508E-01 3.0228E-01 2.6948E-01 1.3251E-01 1.7977E-01 1.6171E-01 1.9394E-01 1.4629E-01 1.4452E-01 1.2844E-01 1.2177E-01 1.3016E-01 9.6503E-02 6.6133E-02 1.1299E-01 6.1512E-02 9.8592E-02,,,,,,,,
18,,,,,,,,,,1.9000E+01 2.1760E+01 3.5151E-02 2.6812E-02 3.9501E-02 6.1140E-02 3.2061E-01 3.0919E-01 1.6492E-01 2.5268E-01 9.6033E-02 1.0588E-01 1.1814E-01 1.3176E-01 1.6754E-01 1.1814E-01 9.2932E-02 1.2154E-01 7.2095E-02 5.9369E-02 8.4806E-02 9.0515E-02,,,,,,,,
19,,,,,,,,,,2.0000E+01 2.2940E+01 2.9803E-02 1.8192E-02 2.8176E-02 2.1856E-02 2.4372E-01 3.6959E-01 2.9610E-01 2.2836E-01 1.8345E-01 6.4813E-02 1.3384E-01 1.4615E-01 6.7813E-02 1.5523E-01 1.3267E-01 8.0311E-02 6.4197E-02 4.1882E-02 8.1247E-02 6.5455E-02,,,,,,,,
20,,,,,,,,,,2.1000E+01 2.4110E+01 4.4927E-02 3.7750E-02 2.7827E-02 2.2901E-02 8.6824E-02 2.9393E-01 2.3598E-01 1.6411E-01 2.3395E-01 8.9481E-02 1.9884E-01 1.8538E-01 7.7804E-02 1.9288E-01 1.3364E-01 1.3302E-01 1.0964E-01 1.0721E-01 9.4226E-02 8.0665E-02,,,,,,,,
21,,,,,,,,,,2.2000E+01 2.5290E+01 2.4213E-02 3.4615E-02 2.1584E-02 2.1891E-02 3.1982E-02 3.6727E-01 2.3209E-01 1.5827E-01 2.5719E-01 1.3303E-01 1.3784E-01 1.8790E-01 1.1562E-01 1.2138E-01 1.1180E-01 1.5174E-01 1.2178E-01 1.1213E-01 7.4615E-02 7.9406E-02,,,,,,,,
22,,,,,,,,,,2.3000E+01 2.6470E+01 4.5182E-02 3.0332E-02 5.3063E-02 2.8467E-02 2.5973E-02 2.7518E-01 2.2396E-01 2.4014E-01 2.2724E-01 7.0566E-02 1.6183E-01 1.6128E-01 1.2767E-01 1.2513E-01 1.5482E-01 9.8858E-02 4.5279E-02 8.0187E-02 7.3956E-02 6.8932E-02,,,,,,,,
23,,,,,,,,,,2.4000E+01 2.7640E+01 2.1961E-02 3.7334E-02 3.2906E-02 3.2926E-02 3.1808E-02 1.6120E-01 2.5646E-01 2.2295E-01 1.9390E-01 1.6673E-01 1.6979E-01 1.2890E-01 7.9182E-02 1.1960E-01 1.7465E-01 1.1407E-01 1.0130E-01 1.0066E-01 9.8589E-02 6.6526E-02,,,,,,,,
24,,,,,,,,,,2.5000E+01 2.8820E+01 2.1169E-02 2.2829E-02 3.9193E-02 3.3329E-02 5.2729E-02 4.9863E-02 3.1281E-01 2.0763E-01 1.9393E-01 1.4717E-01 1.8576E-01 1.2474E-01 1.5360E-01 1.1628E-01 2.0243E-01 1.2371E-01 8.7363E-02 1.0319E-01 9.3825E-02 4.8989E-02,,,,,,,,
25,,,,,,,,,,2.6000E+01 3.0000E+01 1.5341E-02 4.5726E-02 2.6534E-02 2.5417E-02 5.6884E-02 2.8714E-02 2.1493E-01 1.7944E-01 1.0205E-01 1.9483E-01 2.3544E-01 1.3280E-01 8.0026E-02 1.3380E-01 1.5375E-01 9.5361E-02 1.5926E-01 1.1341E-01 5.8119E-02 8.5211E-02,,,,,,,,
26,,,,,,,,,,2.7000E+01 3.1170E+01 3.6420E-02 3.6516E-02 3.9580E-02 3.0000E-02 2.6842E-02 2.8875E-02 1.3191E-01 1.8536E-01 2.1266E-01 1.3722E-01 1.4087E-01 1.4327E-01 1.2559E-01 1.4153E-01 1.4948E-01 1.4772E-01 1.1207E-01 1.3155E-01 7.2552E-02 5.6424E-02,,,,,,,,
27,,,,,,,,,,2.8000E+01 3.2350E+01 4.5584E-02 2.8828E-02 2.8372E-02 4.9301E-02 2.6167E-02 4.4953E-02 3.6387E-02 2.2073E-01 1.6679E-01 1.2293E-01 2.0346E-01 8.7297E-02 1.5073E-01 1.0569E-01 1.1043E-01 1.6527E-01 9.0117E-02 1.0480E-01 9.5084E-02 8.2660E-02,,,,,,,,
28,,,,,,,,,,2.9000E+01 3.3520E+01 2.2863E-02 4.0691E-02 2.7313E-02 3.2897E-02 4.2485E-02 3.6605E-02 3.7640E-02 7.4218E-02 1.5774E-01 1.3222E-01 1.6351E-01 4.9481E-02 1.4629E-01 1.5822E-01 1.2485E-01 1.5836E-01 1.3266E-01 1.0014E-01 9.7372E-02 1.2781E-01,,,,,,,,
29,,,,,,,,,,3.0000E+01 3.4700E+01 3.4520E-02 2.3384E-02 2.8922E-02 3.8044E-02 4.4762E-02 1.2992E-02 3.1530E-02 7.3019E-02 1.8678E-01 1.6623E-01 1.1919E-01 1.4197E-01 1.3816E-01 1.8175E-01 1.3835E-01 1.9291E-01 1.2132E-01 1.1730E-01 9.2276E-02 8.9846E-02,,,,,,,,
30,,,,,,,,,,3.1000E+01 3.5880E+01 2.7641E-02 3.9644E-02 4.0769E-02 4.2694E-02 3.1328E-02 4.5401E-02 2.9927E-02 3.3573E-02 1.1810E-01 1.4956E-01 1.6175E-01 1.7251E-01 1.4071E-01 1.4991E-01 9.8543E-02 1.5789E-01 8.0995E-02 9.6148E-02 6.4664E-02 8.4400E-02,,,,,,,,
31,,,,,,,,,,3.2000E+01 3.7050E+01 3.1742E-02 2.5759E-02 3.3602E-02 3.5816E-02 3.4938E-02 4.0946E-02 2.6517E-02 3.5666E-02 1.0892E-01 2.4012E-01 1.9012E-01 1.3773E-01 1.5426E-01 1.6281E-01 1.3984E-01 1.4232E-01 1.2320E-01 8.2361E-02 9.1889E-02 8.3680E-02,,,,,,,,
32,,,,,,,,,,3.3000E+01 3.8230E+01 2.3666E-02 2.4248E-02 3.2756E-02 2.6950E-02 4.8006E-02 2.9286E-02 1.6540E-02 4.0850E-02 6.7306E-02 2.1517E-01 8.9191E-02 1.0738E-01 1.7753E-01 1.5388E-01 1.4709E-01 9.1085E-02 7.2563E-02 7.5984E-02 5.4158E-02 1.2740E-01,,,,,,,,
33,,,,,,,,,,3.4000E+01 3.9410E+01 4.3436E-02 3.2613E-02 4.1802E-02 4.1456E-02 2.8288E-02 4.0860E-02 1.6462E-02 3.4133E-02 5.5803E-02 1.4946E-01 1.6268E-01 2.0499E-01 1.7735E-01 1.3699E-01 1.1563E-01 1.5788E-01 1.3103E-01 1.1216E-01 1.2074E-01 1.2851E-01,,,,,,,,
34,,,,,,,,,,3.5000E+01 4.0580E+01 2.8551E-02 1.6511E-02 3.7059E-02 1.7919E-02 2.3923E-02 4.6274E-02 2.0158E-02 4.5603E-02 3.4955E-02 6.4145E-02 2.1323E-01 1.6276E-01 2.6236E-01 2.1782E-01 1.2461E-01 1.5528E-01 9.5546E-02 8.2104E-02 6.9429E-02 1.0505E-01,,,,,,,,
35,,,,,,,,,,3.6000E+01 4.1760E+01 2.4538E-02 2.8029E-02 2.7335E-02 3.7387E-02 2.7366E-02 2.4725E-02 3.1459E-02 4.2511E-02 4.8306E-02 6.1891E-02 1.8940E-01 2.0758E-01 1.8290E-01 2.1355E-01 1.4147E-01 1.3223E-01 1.2220E-01 1.1861E-01 1.2229E-01 8.3917E-02,,,,,,,,
36,,,,,,,,,,3.7000E+01 4.2930E+01 2.0002E-02 3.2769E-02 2.3914E-02 3.4262E-02 3.9262E-02 5.8726E-02 4.0385E-02 3.6170E-02 3.4396E-02 3.4604E-02 1.3867E-01 1.6413E-01 1.7385E-01 2.1839E-01 1.7204E-01 1.3580E-01 1.1229E-01 1.6843E-01 1.3638E-01 6.9318E-02,,,,,,,,
37,,,,,,,,,,3.8000E+01 4.4110E+01 4.7366E-02 5.0069E-02 3.9501E-02 3.2449E-02 4.3436E-02 4.7728E-02 3.7133E-02 4.1405E-02 3.5765E-02 3.9928E-02 9.4539E-02 1.6747E-01 1.4581E-01 2.0062E-01 1.7382E-01 1.9846E-01 1.4992E-01 1.4644E-01 9.2967E-02 1.2367E-01,,,,,,,,
38,,,,,,,,,,3.9000E+01 4.5290E+01 2.8760E-02 2.3132E-02 2.5008E-02 3.4739E-02 2.9689E-02 3.4650E-02 2.7419E-02 3.5125E-02 3.5280E-02 6.0942E-02 4.4428E-02 1.7355E-01 2.7129E-01 2.1853E-01 1.5328E-01 1.3677E-01 1.5090E-01 1.0793E-01 1.0462E-01 1.5011E-01,,,,,,,,
39,,,,,,,,,,4.0000E+01 4.6460E+01 2.3039E-02 2.4809E-02 3.1392E-02 3.3798E-02 3.0286E-02 3.8481E-02 3.9700E-02 4.6543E-02 3.1511E-02 2.9178E-02 3.4179E-02 7.5899E-02 2.2521E-01 1.6713E-01 1.2374E-01 9.3421E-02 1.4485E-01 8.3632E-02 1.2370E-01 1.6174E-01,,,,,,,,
40,,,,,,,,,,4.1000E+01 4.7640E+01 3.9461E-02 1.8007E-02 3.4896E-02 5.1149E-02 2.4523E-02 3.0881E-02 1.1194E-02 4.3002E-02 3.6000E-02 3.2816E-02 2.8253E-02 4.5407E-02 1.9443E-01 1.6431E-01 9.3442E-02 9.9289E-02 9.1215E-02 1.3428E-01 9.2919E-02 1.7525E-01,,,,,,,,
41,,,,,,,,,,4.2000E+01 4.8820E+01 2.5162E-02 1.5582E-02 2.9218E-02 4.7106E-02 2.5968E-02 4.3626E-02 1.0795E-02 1.6573E-02 1.3492E-02 2.8869E-02 3.7409E-02 5.1165E-02 1.2200E-01 2.3944E-01 1.5771E-01 1.8228E-01 1.5587E-01 1.2146E-01 1.2615E-01 1.4353E-01,,,,,,,,
42,,,,,,,,,,4.3000E+01 4.9990E+01 2.7111E-02 3.7360E-02 2.1808E-02 1.1483E-02 3.2803E-02 3.3762E-02 2.3905E-02 3.5857E-02 2.2158E-02 2.5739E-02 3.6931E-02 2.3070E-02 6.7414E-02 1.9672E-01 2.2112E-01 2.6221E-01 1.7056E-01 1.7706E-01 1.0443E-01 9.4644E-02,,,,,,,,
43,,,,,,,,,,4.4000E+01 5.1170E+01 2.9561E-02 4.0564E-02 2.0581E-02 3.6976E-02 3.1902E-02 6.0200E-02 4.9713E-02 2.5705E-02 2.8879E-02 3.5875E-02 6.8296E-02 3.8975E-02 5.3679E-02 1.8237E-01 2.8128E-01 2.1205E-01 1.3341E-01 1.7395E-01 7.6806E-02 1.5357E-01,,,,,,,,
44,,,,,,,,,,4.5000E+01 5.2350E+01 2.2780E-02 4.3307E-02 3.0057E-02 4.1443E-02 4.2618E-02 3.2619E-02 2.5879E-02 3.7734E-02 1.9006E-02 4.0076E-02 3.5744E-02 3.6036E-02 4.7394E-02 1.1952E-01 2.8257E-01 2.0208E-01 2.4372E-01 1.6763E-01 1.2673E-01 1.3445E-01,,,,,,,,
45,,,,,,,,,,4.6000E+01 5.3520E+01 2.7458E-02 4.7115E-02 4.7334E-02 3.6995E-02 2.8076E-02 2.5303E-02 3.3661E-02 2.3748E-02 2.3035E-02 2.6347E-02 4.8934E-02 2.7443E-02 4.0716E-02 6.3625E-02 2.4241E-01 2.0275E-01 2.1247E-01 2.2599E-01 1.5440E-01 1.8649E-01,,,,,,,,
46,,,,,,,,,,4.7000E+01 5.4700E+01 3.6406E-02 3.7574E-02 3.8075E-02 2.7384E-02 3.3743E-02 3.4151E-02 3.4873E-02 2.1616E-02 4.1069E-02 4.4524E-02 4.3099E-02 2.8198E-02 2.8542E-02 4.4678E-02 1.7540E-01 1.9735E-01 1.3027E-01 1.7146E-01 1.8338E-01 1.1410E-01,,,,,,,,
47,,,,,,,,,,4.8000E+01 5.5870E+01 1.5739E-02 3.0396E-02 1.7006E-02 4.2120E-02 3.1744E-02 2.9491E-02 4.2541E-02 2.8876E-02 2.4944E-02 1.0620E-02 3.3486E-02 2.7161E-02 2.4517E-02 2.8484E-02 8.7387E-02 1.2505E-01 1.4427E-01 2.0544E-01 1.9213E-01 1.3943E-01,,,,,,,,
48,,,,,,,,,,4.9000E+01 5.7050E+01 2.6561E-02 2.2250E-02 5.5618E-02 4.2237E-02 1.5720E-02 2.8067E-02 3.8220E-02 6.6110E-02 5.3782E-02 2.7875E-02 6.3375E-02 4.2589E-02 4.3402E-02 1.2179E-02 3.4723E-02 8.1525E-02 2.0895E-01 1.1515E-01 1.4526E-01 1.2004E-01,,,,,,,,
49,,,,,,,,,,5.0000E+01 5.8230E+01 4.0681E-02 3.7466E-02 4.1718E-02 2.1925E-02 3.5305E-02 2.1789E-02 3.7559E-02 2.9072E-02 4.1424E-02 4.3623E-02 1.6677E-02 2.8651E-02 3.9988E-02 2.4457E-02 4.9888E-02 6.8824E-02 2.2108E-01 9.6542E-02 1.3950E-01 1.3812E-01,,,,,,,,
50,,,,,,,,,,5.1000E+01 5.9400E+01 2.0222E-02 2.2433E-02 3.6733E-02 4.2162E-02 3.6552E-02 1.8750E-02 2.9192E-02 2.2795E-02 3.9098E-02 5.7679E-02 3.9336E-02 1.9163E-02 2.3617E-02 3.1543E-02 1.6232E-02 5.6282E-02 1.5218E-01 1.8931E-01 1.5297E-01 1.5894E-01,,,,,,,,
51,,,,,,,,,,5.2000E+01 6.0580E+01 2.8215E-02 3.9604E-02 3.8901E-02 3.5647E-02 4.3524E-02 2.2576E-02 2.6320E-02 2.6595E-02 3.8732E-02 3.6135E-02 3.1641E-02 4.6631E-02 4.6247E-02 2.1613E-02 4.1185E-02 3.5986E-02 1.4887E-01 1.4079E-01 1.2813E-01 1.6326E-01,,,,,,,,
52,,,,,,,,,,5.3000E+01 6.1760E+01 3.2291E-02 4.4175E-02 2.0221E-02 5.0717E-02 3.7445E-02 2.3211E-02 4.9141E-02 3.0889E-02 1.7281E-02 3.0001E-02 2.0340E-02 4.0572E-02 3.6558E-02 5.6407E-02 3.0162E-02 4.2592E-02 1.0950E-01 1.3077E-01 1.3817E-01 2.1382E-01,,,,,,,,
53,,,,,,,,,,5.4000E+01 6.2930E+01 2.2067E-02 1.2783E-02 3.5657E-02 3.5532E-02 3.7804E-02 2.4232E-02 2.7460E-02 3.8449E-02 5.0122E-02 4.1717E-02 3.3148E-02 3.6999E-02 9.3590E-03 3.6945E-02 3.1252E-02 4.1583E-02 5.5032E-02 1.8204E-01 1.1543E-01 1.6882E-01,,,,,,,,
54,,,,,,,,,,5.5000E+01 6.4110E+01 3.3829E-02 3.6787E-02 3.0611E-02 4.6457E-02 3.0735E-02 4.1798E-02 1.4107E-02 4.0572E-02 4.0589E-02 3.6394E-02 2.3166E-02 2.1745E-02 2.5502E-02 1.4018E-02 2.7339E-02 1.7996E-02 3.9094E-02 9.5523E-02 1.1544E-01 1.5062E-01,,,,,,,,
55,,,,,,,,,,5.6000E+01 6.5280E+01 2.4699E-02 2.1553E-02 1.7103E-02 6.6862E-02 3.0510E-02 2.8222E-02 1.8744E-02 4.6127E-02 2.3628E-02 4.1158E-02 3.7220E-02 2.8737E-02 3.5035E-02 3.4190E-02 3.4451E-02 2.3643E-02 2.7398E-02 6.6865E-02 7.1254E-02 1.3582E-01,,,,,,,,
56,,,,,,,,,,5.7000E+01 6.6460E+01 3.5681E-02 3.2710E-02 4.6912E-02 4.4696E-02 3.3664E-02 2.8209E-02 2.8698E-02 4.8497E-02 2.5524E-02 2.1841E-02 7.0565E-02 3.1433E-02 3.7191E-02 2.2810E-02 2.3303E-02 1.8010E-02 2.5323E-02 1.2939E-02 9.5000E-02 1.4445E-01,,,,,,,,
57,,,,,,,,,,5.8000E+01 6.7640E+01 2.2254E-02 3.2689E-02 1.5748E-02 2.9690E-02 4.2604E-02 3.9276E-02 3.4067E-02 1.2215E-02 3.6810E-02 2.0094E-02 1.3764E-02 5.1067E-02 1.5983E-02 2.8193E-02 2.9344E-02 2.8484E-02 2.8053E-02 2.4031E-02 4.6804E-02 1.1950E-01,,,,,,,,
58,,,,,,,,,,5.9000E+01 6.8810E+01 3.3264E-02 5.2479E-02 2.9538E-02 3.0584E-02 3.9497E-02 3.2024E-02 2.9071E-02 3.0273E-02 2.8705E-02 3.7433E-02 1.2800E-02 3.3379E-02 2.7328E-02 3.1598E-02 2.2542E-02 2.5921E-02 2.6381E-02 3.7328E-02 3.8405E-02 9.6900E-02,,,,,,,,
59,,,,,,,,,,6.0000E+01 6.9990E+01 2.5804E-02 5.1053E-02 1.3546E-02 2.5022E-02 4.1267E-02 4.5593E-02 1.9214E-02 3.6038E-02 2.6311E-02 1.4776E-02 3.6229E-02 2.8092E-02 2.6658E-02 3.1553E-02 3.8412E-02 3.7057E-02 3.8205E-02 3.0154E-02 3.1526E-02 8.2557E-02,,,,,,,,
60,,,,,,,,,,6.1000E+01 7.1170E+01 3.5197E-02 1.5916E-02 4.3912E-02 1.4216E-02 2.3294E-02 1.8168E-02 2.9104E-02 1.8451E-02 3.4289E-02 3.5464E-02 3.0358E-02 4.0196E-02 3.6579E-02 2.4747E-02 3.8138E-02 4.8365E-02 3.1492E-02 2.3848E-02 4.6645E-02 6.0090E-02,,,,,,,,
61,,,,,,,,,,6.2000E+01 7.2340E+01 4.7605E-02 2.4154E-02 4.2328E-02 2.7827E-02 2.3582E-02 3.1659E-02 4.9882E-02 3.2668E-02 2.0498E-02 3.5506E-02 1.8471E-02 2.9874E-02 5.7839E-02 3.1146E-02 4.7154E-02 3.9772E-02 2.5904E-02 3.7254E-02 3.1736E-02 3.6118E-02,,,,,,,,
62,,,,,,,,,,6.3000E+01 7.3520E+01 2.6919E-02 2.8277E-02 4.5384E-02 2.8976E-02 2.9740E-02 2.3775E-02 3.1200E-02 2.8520E-02 4.6081E-02 3.4557E-02 2.7364E-02 2.9162E-02 2.7037E-02 4.8586E-02 3.2939E-02 3.4713E-02 3.6435E-02 2.1640E-02 1.9191E-02 3.9223E-02,,,,,,,,
